FieldsheetNo,Context,Mesosquare,Date,Time,Compiled by,TotalTime,Visibility,SlopeGradient,Aspect,Vegetation,LandUse,Topography,SoilTypes,SurfaceCondition,Member1,Member2,Member3,Member4,Member1count,Member2count,Member3count,Member4count,TotalCount,FieldPhoto,FieldPhotoDate,FieldPhotoTakenBy,FieldPhotoTakenFrom,FieldPhotoComments,AdditionalPhoto1,AdditionalPhoto1Date,AdditionalPhoto1TakenBy,AdditionalPhoto1TakenFrom,AdditionalPhoto1Comments,AdditionalPhoto2,AdditionalPhoto2Date,AdditionalPhoto2TakenBy,AdditionalPhoto2TakenFrom,AdditionalPhoto2Comments,Feature1photo,Feature1Type,Feature1GPS,Feature1Notes,Feature1Finds,Feature1Previouslyexcavated,Feature2Photo,Feature2Type,Feature2GPS,Feature2Notes,Feature2Finds,Feature2PreviouslyExcavated,Feature3Photo,Feature3Type,Feature3GPS,Feature3Finds,Feature3Notes,Feature3PreviouslyExcavated,Feature4Photo,Feature4Type,Feature4GPS,Feature4Notes,Feature4Finds,Feature4PreviouslyExcavated,Notes,Feature5Photo,Feature5Type,Feature5GPS,Feature5Notes,Feature5Finds,Feature5PreviouslyExcavated,Feuture6Photo,Feuture6Type,Feature6GPS,Feature6Notes,Feature6Finds,Feature6PreviouslyExcavated,Feature7Photo,Feature7Type,Feature7GPS,Feature7Notes,Feature7Finds#,Feature7PreviouslyExcavated,Feature8Photo,Feature8Type,Feature8GPS,Feature8Notes,Feature8Finds,Feature8PreviouslyExcavated,AdditionalPhoto3,AdditionalPhoto3Date,AdditionalPhoto3TakenBy,AdditionalPhoto3TakenFrom,AdditionalPhoto3Comments,AdditionalPhoto4,AdditionalPhoto4Date,AdditionalPhoto4TakenBy,AdditionalPhoto4TakenFrom,AdditionalPhoto4Comments,Additionalphotograph1comment,Additionalphotograph2comment,Additionalphotograph3comment,Additionalphotograph4comment,Additionalphotograph5comment,Additionalphotograph6comment,Additionalphotograph7comment,Additionalphotograph8comment,Additionalphotograph9comment,Additionalphotograph10comment
11,172,E4.2,02-07-2014,09:20:00,AB,20,2550,(2-20%),NE,"Olive
Cereals
Maquis",Wasteland,Hill Slope,"Sand
Gravel
Bedrock",Dry,MB,SD,SdS,ID,39,22,53,36,150,T14.172.2,02-07-2014,AB,NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,172,E4.4,02-07-2014,10:00:00,AB,20,25,(2-20%),NE,"Olive
Cereals
Maquis",Wasteland,Hill Slope,"Sand
Gravel
Bedrock",Dry,SdS,ID,MB,SD,12,62,76,78,228,T14.172.4,02-07-2014,AB,SE,,,,,,,,,,,,T14.172.4-a,structure,"37.737846
24.054129
35.998768
5
10
0.014009",Located in 172.4-3. Photo taken from S. ,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,173,G4.3,02-07-2014,11:40:00,AB,20,2550,(2-20%),NE,"Olive
Cereals
Maquis",Wasteland,Hill Slope,"Gravel
Bedrock
Sand",Dry,ID,SD,MB,SdS,17,21,12,20,70,T14.173.3,02-07-2014,AB,NW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,173,G4.1,02-07-2014,12:10:00,AB,20,2550,(2-20%),NE,"Cereals
Maquis
Olive",Wasteland,Hill Slope,,Dry,SdS,MB,ID,SD,37,13,26,14,90,T14.173.1,02-07-2014,AB,SW,,T14.173.a,02-07-2014,,S,Large bedrock plateau in T14.173.3-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,173,G4.4,03-07-2014,06:20:00,AB,20,2550,(2-20%),N,"Olive
Fruit
Maquis",Wasteland,Hill Slope,"Sand
Bedrock
Gravel",Dry,SD,MB,SdS,ID,15,21,15,14,65,T14.173.4,03-07-2014,AB,SE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,173,G4.2,03-07-2014,06:50:00,AB,20,2550,(2-20%),N,"Olive
Cereals
Maquis",,Hill Slope,"Sand
Gravel
Bedrock",Dry,ID,SdS,SD,MB,21,3,12,27,63,T14.173.2,03-07-2014,AB,NE,,,,,,,,,,,,T14.173.2-a,Grinding stone,"37.737985
24.055309
51.534008
5
9
0.013178",located in 173.2-3. Too heavy to take as a find,,No,,structure,"37.738066
24.055324
52.150879
5
9
0.010393",located on the northern border of G4.2, photo from SE,,No,,,"37.738066
24.055324
52.150879
5
9
0.013474",,same structure as #2, photo from S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,174,H4.1,03-07-2014,08:05:00,AB,20,2550,(20-35%),N,"Olive
Cereals
Maquis",Wasteland,Hill Slope,"Sand
Gravel
Bedrock",Dry,MB,ID,SD,SdS,14,12,10,5,41,T14.174.1,,AB,SE,,,,,,,,,,,,,,"37.737835
24.055654
40.706299
5
10
0.011789",'stair'-like bedrock running straight for about 6m, photo taken from S,,,,,,same structure as #1, photo taken from W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,174,H4.3,03-07-2014,08:44:00,AB,20,2550,(2-20%),N,"Olive
Cereals
Maquis",Wasteland,Hill Slope,"Sand
Gravel
Bedrock",Dry,ID,SdS,MB,SD,6,17,6,11,40,T14.174.3,,,NW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,174,H4.4,03-07-2014,09:12:00,AB,20,25,(2-20%),N,Olive,Wasteland,Hill Slope,"Gravel
Bedrock
Sand",Dry,SdS,ID,SD,MB,18,15,7,13,53,T14.174.4,,,NE,,,,,SE,"37.737616
24.055776
51.036690
5
10
0.013122

possible structure in SD",,,,,,,,"37.737804
24.056061
52.885757
5
10
0.010684",Traces of a wall running east in 174.4-2, crossing over into 175.3-1. Photo taken from SW.,,,,,"37.737743
24.056056
54.153587
5
10
0.015234",Bedrock platform in 174.4-2. Photo taken from SE.,,,,,"37.737651
24.055989
39.740795
5
10
0.000624",,bedrock platform in 174.4-4. Photo taken from S.,,,,"37.737741
24.055849
55.652016
5
10
0.012409",possible wall and bedrock platform in 174.4-1. Photo taken from E.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,174,H4.2,03-07-2014,09:45:00,AB,20,2550,(2-20%),N,"Olive
Maquis
Cereals",Wasteland,Hill Slope,"Sand
Bedrock
Gravel",Dry,SD,MB,SdS,ID,7,5,12,9,33,T14.174.2,03-07-2014,AB,NE,,,,,,,,,,,,,,"37.738012
24.056016
41.641911
5
10
0.009580",Possible structure in 174.2-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,175,I4.3,04-07-2014,06:30:00,AB,20,2550,(20-35%),N,"Olive
Fruit
Maquis",Wasteland,Hill Slope,"Sand
Gravel
Bedrock",Dry,ID,SD,MB,SdS,16,6,15,11,48,T14.175.3,04-07-2014,AB,NE,,,,,,,,,,,,,,,see field sheet #19: wall running east, crossing over from 174.4-2 into 175.3-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,175,I4.1,04-07-2014,07:10:00,AB,20,2550,(2-20%),N,"Olive
Cereals
Maquis",Wasteland,Plain,"Gravel
Sand
Bedrock",Dry,MB,SdS,ID,SD,2,13,4,7,26,T14.175.1,04-07-2014,AB,SE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,175,I4.2,04-07-2014,07:40:00,AB,20,2550,(2-20%),N,"Cereals
Maquis
Olive",Wasteland,Hill Slope,"Sand
Gravel
Bedrock",Dry,SdS,MB,SD,ID,23,16,18,20,77,T14.175.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"37.736996
24.056980
25.221661
5
10
0.008675",downhill, not in this macrosquare. photo from NE ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,175,I4.4,05-07-2014,06:20:00,AB,20,2550,(2-20%),N,"Olive
Cereals
Maquis",Wasteland,Hill Slope,"Gravel
Sand
Bedrock",Dry,SdW,CL,KT,RB,12,17,3,10,42,T14.175.4,05-07-2014,AB,NE,,,,,,,,,,,,,,"37.737812
24.056375
40.408394
5
10
0.005333",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,176,J4.3,05-07-2014,07:20:00,AB,20,2550,(2-20%),NW,"Olive
Cereals
Maquis",Wasteland,Hill Slope,"Sand
Gravel
Bedrock",Dry,CL,KT,RB,SdW,30,14,13,16,73,T14.176.3,05-07-2014,AB,SW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,176,J4.1,05-07-2014,08:55:00,AB,20,2550,(2-20%),NW,"Maquis
Cereals
Olive",Wasteland,Hill Slope,"Sand
Gravel
Bedrock",Dry,SdW,RB,CL,KT,10,43,19,33,105,T14.176.1,05-07-2014,AB,SE,,,,,,,,,,,,,,"37.737942
24.056625
46.342922
5
10
0.006217",possible wall in 176.1-1, photo from NE,,,,,,,,,,,,,,,,,,,,,many flat marble/bedrock stones in this mCrosquare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,176,J4.2,05-07-2014,08:32:00,AB,20,5075,(2-20%),NW,"Olive
Maquis
Cereals",Wasteland,Hill Slope,"Sand
Gravel
Bedrock",Dry,RB,SdW,KT,CL,71,74,42,97,284,T14.176.2,05-07-2014,AB,SE,,,,,,,,,,,,,,,bedrock running to the east, quite flat and straight. taken from west,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,176,J4.4,05-07-2014,09:10:00,AB,20,2550,(2-20%),NW,"Olive
Maquis
Cereals",Wasteland,Hill Slope,"Sand
Gravel
Bedrock",Dry,KT,CL,RB,SdW,22,34,17,23,96,T14.176.4,05-07-2014,,E,,,,,,,,,,,,,,"37.737720
24.057099
34.064693
5
9
0.013050",bedrock with modern inscriptions ,,,,,,closeup of #1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,170,K4.1,07-07-2014,06:35:00,AB,20,2550,(2-20%),NW,"Olive
Maquis
Cereals",Wasteland,Hill Slope,"Sand
Bedrock
Gravel",Dry,MH,MKO,AR,IvD,140,50,86,26,302,,,AB,SE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,170,K4.3,07-07-2014,07:35:00,AB,20,2550,(2-20%),NW,"Olive
Fruit
Cereals",,Hill Slope,"Sand
Gravel
Bedrock",Dry,KT,SdW,CL,DK,36,18,42,5,101,,,AB,NE,,,,,SE,quarry in 170.3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,177,G52.2,07-07-2014,09:20:00,AB,20,25,(+35%),NW,"Olive
Maquis
Cereals",,Hill Slope,"Gravel
Sand
Bedrock",Dry,MH,DK,IvD,KT,41,43,32,51,167,,,AB,SW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,177,G52.4,07-07-2014,09:20:00,AB,20,25,(+35%),NW,"Olive
Fruit
Cereals",Wasteland,Hill Slope,"Sand
Gravel
Bedrock",Dry,MKO,SdW,CL,AR,44,27,62,49,182,,,AB,NW,,,,,,,,,,,,,,"37.740088
24.055642
108.489349
10
18
0.007149",Wall tuning SE in 177.4-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,178,C3.1,07-07-2014,11:10:00,AB,20,25,(20-35%),NE,"Olive
Cereals
Maquis",Wasteland,Hill Slope,"Sand
Bedrock
Gravel",Dry,IvD,SdW,DK,MKO,3,50,8,4,65,,07-07-2014,AB,SE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,178,C3.2,07-07-2014,11:10:00,AB,20,2550,(20-35%),NE,"Olive
Cereals
Maquis",Wasteland,Hill Slope,"Gravel
Sand
Bedrock",Dry,AR,KT,CL,MH,105,62,61,48,276,,07-07-2014,AB,SE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,178,C3.3,07-07-2014,11:50:00,AB,20,2550,(2-20%),NE,,Wasteland,,"Bedrock
Sand
Gravel",,DK,MKO,KT,IvD,3,47,0,5,55,T14.178.3,,,SE,,,,,,,,,,,,,,"37.738194
24.053193
38.467293
5
10
0.031364",178.3-3,,No,,,"37.738224
24.053086
47.277317
5
10
0.011696",,,,,,"37.738189
24.053067
39.946419
5
10
0.010587",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,178,C3.4,07-07-2014,11:50:00,AB,20,2550,(2-20%),NE,,Wasteland,Hill Slope,"Sand
Gravel
Bedrock",Dry,CL,MH,SdW,AR,98,40,42,89,269,T14.178.4,,,SE,Bedrock outcrop in south of this square,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,179,D3.1,07-07-2014,12:30:00,AB,20,2550,(2-20%),N,"Olive
Cereals
Maquis",Wasteland,Hill Slope,"Sand
Gravel
Bedrock",Dry,KT,AR,MH,MKO,25,15,25,36,101,T14.179.1,07-07-2014,AB,NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,179,D3.2,07-07-2014,12:30:00,AB,20,2550,(2-20%),N,"Olive
Cereals
Maquis",Wasteland,Hill Slope,"Sand
Gravel
Bedrock",Dry,CL,SdW,DK,IvD,16,20,3,6,45,T14.179.2,07-07-2014,AB,NW,,,,,,,,,,,,,,"37.738782
24.053652
11.973625
30
57
0.010988",sarcophagus lid,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,180,E3.1,08-07-2014,06:30:00,AB,20,2550,(20-35%),NE,"Cereals
Maquis
Olive",Wasteland,Hill Slope,"Sand
Gravel
Bedrock",Dry,MH,KT,CL,IvD,41,31,27,18,117,T14.180.1,08-07-2014,AB,NW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,180,E3.2,08-07-2014,06:30:00,AB,20,2550,(2-20%),NE,"Olive
Cereals
Maquis",Wasteland,Hill Slope,"Sand
Bedrock
Gravel",Dry,RB,SC,MK,WT,18,23,55,53,149,T14.180.2,08-07-2014,AB,NW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,181,E2.1,08-07-2014,07:10:00,AB,20,2550,(2-20%),NE,"Olive
Cereals
Maquis",Wasteland,Hill Slope,"Gravel
Sand",Dry,ID,MK,WT,CL,56,40,35,21,152,T14.181.1,08-07-2014,AB,SW,,,,,,,,,,,,,,"37.738854
24.054104
62.612602
5
10
0.001563",Semicircular depression (ca. 25 m e-w diam.) Quarry? Has horizontal cleft on the north side. Perhaps erosion as a result of quarrying. ,,No,,,"37.738786
24.054149
56.152332
5
10
0.013660",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,181,E2.3,08-07-2014,07:10:00,AB,20,2550,(2-20%),NE,"Olive
Cereals
Maquis",Wasteland,Hill Slope,"Sand
Gravel",Dry,IvD,SdW,MH,KT,6,10,40,34,90,T14.181.3,08-07-2014,AB,SE,,,,,,,,,,,,,,"37.738633
24.053718
58.773098
5
10
0.002767",Coral-like stone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,181,E2.4,08-07-2014,07:10:00,AB,20,2550,(2-20%),NE,"Cereals
Maquis
Olive",,Hill Slope,"Gravel
Sand",,AR,DK,RB,SC,19,8,21,22,70,T14.181.4,08-07-2014,AB,NW,,,,,,,,,,,,,,"37.738751
24.054156
54.480572
5
9
0.009468",,,,,,,Abundance of grinding stones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,181,E2.2,08-07-2014,08:10:00,AB,20,25,(2-20%),NE,"Cereals
Maquis",Wasteland,Hill Slope,"Sand
Gravel",Dry,ID,MH,CL,KT,24,22,54,22,122,T14.181.2,08-07-2014,AB,SE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,182,E1.3,08-07-2014,09:15:00,AB,20,25,(2-20%),NE,"Cereals
Maquis",Wasteland,Hill Slope,"Sand
Gravel",Dry,CL,ID,MH,KT,18,12,31,30,91,T14.182.3,08-07-2014,AB,NW,,,,,,,,,,,,,,"37.739223
24.053912
71.990372
5
10
0.008586",rubble heap 1, CL,,,,,"37.739171
24.053983
62.031845
10
17
0.001829",rubble heap 2, CL,,,,,,,3 terrace walls running from NW to SE from the north section of 182.3 into the south section of 182.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,182,E1.4,08-07-2014,09:30:00,AB,20,25,(2-20%),NE,"Cereals
Maquis",Wasteland,Hill Slope,"Sand
Gravel",Dry,ID,MH,KT,CL,13,13,13,14,53,T14.182.4,08-07-2014,AB,NW,,,,,,,,,,,,,,,Rubble heap 181.4-2,,,,,"37.739124
24.054412
69.925865
5
9
0.083952",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,182,E1.2,08-07-2014,11:00:00,AB,20,2550,(2-20%),NE,"Maquis
Cereals
Olive",Wasteland,,"Sand
Gravel",,KT,CL,ID,MH,101,109,64,40,314,514.182.2,08-07-2014,AB,SE,,,,,,,,,,,,,,"37.739287
24.054445
74.613113
5
10
0.009328",rubble heap in 182.2-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,182,E1.1,08-07-2014,11:40:00,AB,20,2550,(2-20%),NE,"Olive
Cereals
Maquis",Wasteland,Hill Slope,"Sand
Gravel",Dry,MH,KT,CL,ID,99,88,122,100,409,T14.182.1,08-07-2014,AB,NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,183,D1.4,08-07-2014,12:30:00,AB,20,2550,(2-20%),NE,"Cereals
Maquis
Olive",Wasteland,Hill Slope,"Sand
Gravel",Dry,KT,CL,ID,MH,110,75,65,72,322,,,,NE,,,,,,,,,,,,,,"37.739296
24.053728
51.615898
5
10
0.009401",Rubble heap CL,,,,,"37.739127
24.053723
46.685780
5
10
0.016495",MH,,,,,"37.739297
24.053628
41.159279
10
18
0.012596",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
